PTPtime,Timestamp, Frame Number, Version Number, Num Detections, Num Tracks, Host Speed, DSPWorkload, ARMWorkload, Host YawDiff, TrackID, TrackX, TrackY, TrackZ,TrackXdot, TrackYdot, TrackZdot, Flag, Class, Confidence
426723360,1670247513543479,373,1491021129,134,6,0,49,8,0.31,12,-0.28,-0.11,5,0,0,0,2,0,0
426723360,1670247513543479,373,1491021129,134,6,0,49,8,0.31,178,0.82,-3.67,17,0,0,0,2,0,0
426723360,1670247513543479,373,1491021129,134,6,0,49,8,0.31,216,-3.77,-1.49,11,0,0,0,2,0,0
426723360,1670247513543479,373,1491021129,134,6,0,49,8,0.31,243,2.54,-3.56,8,0,0,0,2,0,0
426723360,1670247513543479,373,1491021129,134,6,0,49,8,0.31,248,3.29,-1.06,15,0,0,0,2,0,0
426723360,1670247513543479,373,1491021129,134,6,0,49,8,0.31,250,-2.36,4.22,12,0.01,0,0,2,0,0
426723360,1670247513626192,374,1491021129,140,5,0,49,10,0.3,12,-0.32,-0.1,5,0,0,0,2,0,0
426723360,1670247513626192,374,1491021129,140,5,0,49,10,0.3,178,0.63,-3.67,17,0,0,0,2,0,0
426723360,1670247513626192,374,1491021129,140,5,0,49,10,0.3,216,-3.85,-1.5,11,0,0,0,2,0,0
426723360,1670247513626192,374,1491021129,140,5,0,49,10,0.3,243,2.5,-3.56,8,0,0,0,2,0,0
426723360,1670247513626192,374,1491021129,140,5,0,49,10,0.3,250,-1.38,4.57,12,0.01,0,0,2,0,0
510049280,1670247513708990,375,1491021129,143,5,0,48,8,0.26,12,-0.36,-0.09,5,0,0,0,2,0,0
510049280,1670247513708990,375,1491021129,143,5,0,48,8,0.26,178,0.48,-3.66,17,0,0,0,2,0,0
510049280,1670247513708990,375,1491021129,143,5,0,48,8,0.26,216,-3.91,-1.5,11,0,0,0,2,0,0
510049280,1670247513708990,375,1491021129,143,5,0,48,8,0.26,243,2.46,-3.56,8,0,0,0,2,0,0
510049280,1670247513708990,375,1491021129,143,5,0,48,8,0.26,250,-1.44,4.57,12,0.01,0,0,2,0,0
676716350,1670247513793608,376,1491021129,148,5,0,49,8,0.18,12,-0.38,-0.08,5,0,0,0,2,0,0
676716350,1670247513793608,376,1491021129,148,5,0,49,8,0.18,178,0.34,-3.65,17,0,0,0,2,0,0
676716350,1670247513793608,376,1491021129,148,5,0,49,8,0.18,216,-3.98,-1.51,11,0,0,0,2,0,0
676716350,1670247513793608,376,1491021129,148,5,0,49,8,0.18,243,2.54,-3.56,8,0,0,0,2,0,0
676716350,1670247513793608,376,1491021129,148,5,0,49,8,0.18,250,-1.59,4.43,12,0.01,0,0,2,0,0
760041350,1670247513876685,377,1491021129,158,5,0,49,10,0.24,12,-0.41,-0.08,5,0,0,0,2,0,0
760041350,1670247513876685,377,1491021129,158,5,0,49,10,0.24,178,0.13,-3.71,17,0,0,0,2,0,0
760041350,1670247513876685,377,1491021129,158,5,0,49,10,0.24,216,-4.01,-1.51,11,0,0,0,2,0,0
760041350,1670247513876685,377,1491021129,158,5,0,49,10,0.24,243,2.5,-3.56,8,0,0,0,2,0,0
760041350,1670247513876685,377,1491021129,158,5,0,49,10,0.24,250,-1.76,4.4,12,0,0,0,2,0,0
