Yaw,Pitch,Roll,Latitude,Longitude,Altitude,Speed,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
-0.13,0,0,0,0,0,0,
-0.41,0,0,0,0,0,0,
-0.63,0,0,0,0,0,0,
-0.84,0,0,0,0,0,0,
-1.05,0,0,0,0,0,0,
-1.22,0,0,0,0,0,0,
-1.37,0,0,0,0,0,0,
-1.52,0,0,0,0,0,0,
-1.63,0,0,0,0,0,0,
-1.74,0,0,0,0,0,0,
-1.84,0,0,0,0,0,0,
-1.93,0,0,0,0,0,0,
-2,0,0,0,0,0,0,
-2.07,0,0,0,0,0,0,
-2.14,0,0,0,0,0,0,
-2.19,0,0,0,0,0,0,
-2.24,0,0,0,0,0,0,
-2.3,0,0,0,0,0,0,
-2.33,0,0,0,0,0,0,
-2.36,0,0,0,0,0,0,
-2.4,0,0,0,0,0,0,
-2.43,0,0,0,0,0,0,
-2.45,0,0,0,0,0,0,
-2.48,0,0,0,0,0,0,
-2.5,0,0,0,0,0,0,
-2.51,0,0,0,0,0,0,
-2.54,0,0,0,0,0,0,
-2.55,0,0,0,0,0,0,
-2.57,0,0,0,0,0,0,
-2.58,0,0,0,0,0,0,
-2.59,0,0,0,0,0,0,
-2.6,0,0,0,0,0,0,
-2.61,0,0,0,0,0,0,
-2.62,0,0,0,0,0,0,
-2.63,0,0,0,0,0,0,
-2.63,0,0,0,0,0,0,
-2.64,0,0,0,0,0,0,
-2.65,0,0,0,0,0,0,
-2.65,0,0,0,0,0,0,
-2.65,0,0,0,0,0,0,
-2.65,0,0,0,0,0,0,
-2.59,0,0,0,0,0,0,
-2.33,0,0,0,0,0,0,
-2.08,0,0,0,0,0,0,
-1.86,0,0,0,0,0,0,
-1.65,0,0,0,0,0,0,
-1.48,0,0,0,0,0,0,
-1.33,0,0,0,0,0,0,
-1.19,0,0,0,0,0,0,
-1.06,0,0,0,0,0,0,
-0.96,0,0,0,0,0,0,
-0.86,0,0,0,0,0,0,
-0.76,0,0,0,0,0,0,
-0.69,0,0,0,0,0,0,
-0.62,0,0,0,0,0,0,
-0.55,0,0,0,0,0,0,
-0.5,0,0,0,0,0,0,
-0.45,0,0,0,0,0,0,
-0.39,0,0,0,0,0,0,
-0.36,0,0,0,0,0,0,
-0.33,0,0,0,0,0,0,
-0.3,0,0,0,0,0,0,
-0.28,0,0,0,0,0,0,
-0.26,0,0,0,0,0,0,
-0.23,0,0,0,0,0,0,
-0.22,0,0,0,0,0,0,
-0.2,0,0,0,0,0,0,
-0.19,0,0,0,0,0,0,
-0.17,0,0,0,0,0,0,
-0.16,0,0,0,0,0,0,
-0.15,0,0,0,0,0,0,
-0.13,0,0,0,0,0,0,
-0.13,0,0,0,0,0,0,
-0.12,0,0,0,0,0,0,
-0.11,0,0,0,0,0,0,
-0.1,0,0,0,0,0,0,
-0.1,0,0,0,0,0,0,
-0.16,0,0,0,0,0,0,
-0.42,0,0,0,0,0,0,
-0.64,0,0,0,0,0,0,
-0.87,0,0,0,0,0,0,
-1.06,0,0,0,0,0,0,
-1.23,0,0,0,0,0,0,
-1.37,0,0,0,0,0,0,
-1.52,0,0,0,0,0,0,
-1.65,0,0,0,0,0,0,
-1.68,0,0,0,0,0,0,
-1.51,0,0,0,0,0,0,
-1.36,0,0,0,0,0,0,
-1.23,0,0,0,0,0,0,
-1.1,0,0,0,0,0,0,
-1,0,0,0,0,0,0,
-0.9,0,0,0,0,0,0,
-0.82,0,0,0,0,0,0,
