PTPtime,Timestamp, Frame Number, Version Number, Num Detections, Num Tracks, Host Speed, DSPWorkload, ARMWorkload, Host YawDiff, TrackID, TrackX, TrackY, TrackZ,TrackXdot, TrackYdot, TrackZdot, Flag, Class, Confidence
510055170,1670554928973807,373,1491021129,68,3,0,48,5,0,60,-4.54,-0.39,7,0,0,0,2,0,0
510055170,1670554928973807,373,1491021129,68,3,0,48,5,0,88,-1.12,-0.21,6,0,0,0,2,0,0
510055170,1670554928973807,373,1491021129,68,3,0,48,5,0,97,-0.1,-0.06,1,0,0,0,2,0,0
593365130,1670554929055953,374,1491021129,71,3,0,48,5,0,60,-4.56,-0.33,7,0,0,0,2,0,0
593365130,1670554929055953,374,1491021129,71,3,0,48,5,0,88,-1.15,-0.2,6,0,0,0,2,0,0
593365130,1670554929055953,374,1491021129,71,3,0,48,5,0,97,-0.06,-0.01,1,0,0,0,2,0,0
676714130,1670554929140112,375,1491021129,70,4,0,48,6,0,60,-4.57,-0.3,7,0,0,0,2,0,0
676714130,1670554929140112,375,1491021129,70,4,0,48,6,0,88,-1.17,-0.15,6,0,0,0,2,0,0
676714130,1670554929140112,375,1491021129,70,4,0,48,6,0,97,-0.04,-0.05,1,0,0,0,2,0,0
676714130,1670554929140112,375,1491021129,70,4,0,48,6,0,109,-3.97,-3.11,11,0.01,-0.01,0,2,0,0
760041140,1670554929224390,376,1491021129,68,5,0,48,5,0,60,-4.57,-0.3,7,0,0,0,2,0,0
760041140,1670554929224390,376,1491021129,68,5,0,48,5,0,88,-1.17,-0.15,6,0,0,0,2,0,0
760041140,1670554929224390,376,1491021129,68,5,0,48,5,0,97,-0.02,-0.06,1,0,0,0,2,0,0
760041140,1670554929224390,376,1491021129,68,5,0,48,5,0,109,-3.97,-3.12,11,0.01,-0.01,0,2,0,0
760041140,1670554929224390,376,1491021129,68,5,0,48,5,0,111,2.55,1.26,3,-0.35,0,0.25,2,0,0
843356210,1670554929307096,377,1491021129,71,5,0,48,7,0,60,-4.58,-0.3,7,0,0,0,2,0,0
843356210,1670554929307096,377,1491021129,71,5,0,48,7,0,88,-1.19,-0.12,6,0,0,0,2,0,0
843356210,1670554929307096,377,1491021129,71,5,0,48,7,0,97,0.03,-0.07,1,0,0,0,2,0,0
843356210,1670554929307096,377,1491021129,71,5,0,48,7,0,109,-3.97,-3.12,11,0.01,-0.01,0,2,0,0
843356210,1670554929307096,377,1491021129,71,5,0,48,7,0,111,2.39,1.25,3,-0.32,0,0.23,2,0,0
926702250,1670554929389880,378,1491021129,69,5,0,48,5,0,60,-4.58,-0.29,7,0,0,0,2,0,0
926702250,1670554929389880,378,1491021129,69,5,0,48,5,0,88,-1.25,-0.13,6,0,0,0,2,0,0
926702250,1670554929389880,378,1491021129,69,5,0,48,5,0,97,0,-0.05,1,0,0,0,2,0,0
926702250,1670554929389880,378,1491021129,69,5,0,48,5,0,109,-3.97,-3.12,11,0.01,-0.01,0,2,0,0
926702250,1670554929389880,378,1491021129,69,5,0,48,5,0,111,2.39,1.25,3,-0.29,0,0.2,2,0,0
10044050,1670554929472840,379,1491021129,70,5,0,48,5,0,60,-4.6,-0.24,7,0,0,0,2,0,0
10044050,1670554929472840,379,1491021129,70,5,0,48,5,0,88,-1.26,-0.11,6,0,0,0,2,0,0
10044050,1670554929472840,379,1491021129,70,5,0,48,5,0,97,-0.04,-0.03,1,0,0,0,2,0,0
10044050,1670554929472840,379,1491021129,70,5,0,48,5,0,109,-5.64,-3.03,10,0.01,-0.01,0,2,0,0
10044050,1670554929472840,379,1491021129,70,5,0,48,5,0,111,2.39,1.25,3,-0.26,0,0.18,2,0,0
93379070,1670554929557874,380,1491021129,65,5,0,48,5,0,60,-4.61,-0.22,7,0,0,0,2,0,0
93379070,1670554929557874,380,1491021129,65,5,0,48,5,0,88,-1.26,-0.11,6,0,0,0,2,0,0
93379070,1670554929557874,380,1491021129,65,5,0,48,5,0,97,-0.01,-0.07,1,0,0,0,2,0,0
93379070,1670554929557874,380,1491021129,65,5,0,48,5,0,109,-5.72,-3.12,10,0.01,0,0,2,0,0
93379070,1670554929557874,380,1491021129,65,5,0,48,5,0,111,3.02,1.08,3,-0.23,0,0.16,2,0,0
176687080,1670554929640798,381,1491021129,58,5,0,48,7,0,60,-4.65,-0.15,7,0,0,0,2,0,0
176687080,1670554929640798,381,1491021129,58,5,0,48,7,0,88,-1.26,-0.11,6,0,0,0,2,0,0
176687080,1670554929640798,381,1491021129,58,5,0,48,7,0,97,0.04,-0.06,1,0,0,0,2,0,0
176687080,1670554929640798,381,1491021129,58,5,0,48,7,0,109,-5.62,-3.2,10,0,0,0,2,0,0
176687080,1670554929640798,381,1491021129,58,5,0,48,7,0,111,3.02,1.08,3,-0.21,0,0.15,2,0,0
260031010,1670554929731279,382,1491021129,52,5,0,48,6,0,60,-4.65,-0.15,7,0,0,0,2,0,0
260031010,1670554929731279,382,1491021129,52,5,0,48,6,0,88,-1.26,-0.06,6,0,0,0,2,0,0
260031010,1670554929731279,382,1491021129,52,5,0,48,6,0,97,0.04,-0.06,1,0,0,0,2,0,0
260031010,1670554929731279,382,1491021129,52,5,0,48,6,0,109,-5.54,-3.22,10,0,0,0,2,0,0
260031010,1670554929731279,382,1491021129,52,5,0,48,6,0,111,3.02,1.08,3,-0.19,0,0.13,2,0,0
343355110,1670554929807496,383,1491021129,46,4,0,48,5,0,60,-4.65,-0.15,7,0,0,0,2,0,0
343355110,1670554929807496,383,1491021129,46,4,0,48,5,0,88,-1.25,-0.01,6,0,0,0,2,0,0
343355110,1670554929807496,383,1491021129,46,4,0,48,5,0,97,0.06,-0.1,1,0,0,0,2,0,0
343355110,1670554929807496,383,1491021129,46,4,0,48,5,0,109,-5.54,-3.22,10,0,0,0,2,0,0
426699080,1670554929890891,384,1491021129,45,4,0,48,5,0,60,-4.63,-0.08,7,0,0,0,2,0,0
426699080,1670554929890891,384,1491021129,45,4,0,48,5,0,88,-1.3,0,6,0,0,0,2,0,0
426699080,1670554929890891,384,1491021129,45,4,0,48,5,0,97,0.01,-0.14,1,0,0,0,2,0,0
426699080,1670554929890891,384,1491021129,45,4,0,48,5,0,109,-5.54,-3.22,10,0,0,0,2,0,0
510019130,1670554929973010,385,1491021129,47,4,0,48,5,0,60,-4.64,-0.09,7,0,0,0,2,0,0
510019130,1670554929973010,385,1491021129,47,4,0,48,5,0,88,-1.29,0,6,0,0,0,2,0,0
510019130,1670554929973010,385,1491021129,47,4,0,48,5,0,97,-0.05,-0.11,1,0,0,0,2,0,0
510019130,1670554929973010,385,1491021129,47,4,0,48,5,0,109,-5.54,-3.22,10,0,0,0,2,0,0
593355110,1670554930058305,386,1491021129,50,4,0,48,5,0,60,-4.63,-0.1,7,0,0,0,2,0,0
593355110,1670554930058305,386,1491021129,50,4,0,48,5,0,88,-1.34,-0.09,6,0,0,0,2,0,0
593355110,1670554930058305,386,1491021129,50,4,0,48,5,0,97,-0.06,-0.14,1,0,0,0,2,0,0
593355110,1670554930058305,386,1491021129,50,4,0,48,5,0,112,1.75,-0.04,3,0.07,-0.12,-0.03,2,0,0
676671140,1670554930141305,387,1491021129,60,4,0,47,7,0,60,-4.62,-0.11,7,0,0,0,2,0,0
676671140,1670554930141305,387,1491021129,60,4,0,47,7,0,88,-1.41,-0.15,5,0,0,0,2,0,0
676671140,1670554930141305,387,1491021129,60,4,0,47,7,0,97,-0.06,-0.14,1,0,0,0,2,0,0
676671140,1670554930141305,387,1491021129,60,4,0,47,7,0,113,-1.66,2.4,9,0.06,0.03,0,2,0,0
760030100,1670554930222789,388,1491021129,66,3,0,48,5,0,60,-4.61,-0.08,7,0,0,0,2,0,0
760030100,1670554930222789,388,1491021129,66,3,0,48,5,0,88,-1.41,-0.15,5,0,0,0,2,0,0
760030100,1670554930222789,388,1491021129,66,3,0,48,5,0,97,-0.13,-0.15,1,0,0,0,2,0,0
843337130,1670554930322805,389,1491021129,67,3,0,47,5,0,60,-4.63,-0.1,7,0,0,0,2,0,0
843337130,1670554930322805,389,1491021129,67,3,0,47,5,0,88,-1.41,-0.15,5,0,0,0,2,0,0
843337130,1670554930322805,389,1491021129,67,3,0,47,5,0,97,-0.12,-0.16,1,0,0,0,2,0,0
926669170,1670554930391310,390,1491021129,70,3,0,47,4,0,60,-4.64,-0.06,7,0,0,0,2,0,0
926669170,1670554930391310,390,1491021129,70,3,0,47,4,0,88,-1.46,-0.11,5,0,0,0,2,0,0
926669170,1670554930391310,390,1491021129,70,3,0,47,4,0,97,-0.19,-0.16,1,0,0,0,2,0,0
10036040,1670554930474594,391,1491021129,69,3,0,48,5,0,60,-4.66,-0.01,7,0,0,0,2,0,0
10036040,1670554930474594,391,1491021129,69,3,0,48,5,0,88,-1.53,-0.02,5,0,0,0,2,0,0
10036040,1670554930474594,391,1491021129,69,3,0,48,5,0,97,-0.17,-0.15,1,0,0,0,2,0,0
93370160,1670554930556953,392,1491021129,66,4,0,48,7,0,60,-4.67,-0.02,7,0,0,0,2,0,0
93370160,1670554930556953,392,1491021129,66,4,0,48,7,0,88,-1.56,-0.02,5,0,0,0,2,0,0
93370160,1670554930556953,392,1491021129,66,4,0,48,7,0,97,-0.22,-0.14,1,0,0,0,2,0,0
93370160,1670554930556953,392,1491021129,66,4,0,48,7,0,117,0.46,1.05,4,0.95,-0.43,0.05,2,0,0
176679050,1670554930639877,393,1491021129,61,3,0,48,5,0,60,-4.66,-0.02,7,0,0,0,2,0,0
176679050,1670554930639877,393,1491021129,61,3,0,48,5,0,88,-1.48,0,5,0,0,0,2,0,0
176679050,1670554930639877,393,1491021129,61,3,0,48,5,0,97,-0.22,-0.14,1,0,0,0,2,0,0
260062690,1670554930723059,394,1491021129,60,3,0,48,5,0,60,-4.65,0,7,0,0,0,2,0,0
260062690,1670554930723059,394,1491021129,60,3,0,48,5,0,88,-1.55,0.04,6,0,0,0,2,0,0
260062690,1670554930723059,394,1491021129,60,3,0,48,5,0,97,-0.22,-0.14,1,0,0,0,2,0,0
343410780,1670554930807249,395,1491021129,63,4,0,48,5,0,60,-4.63,0.07,7,0,0,0,2,0,0
343410780,1670554930807249,395,1491021129,63,4,0,48,5,0,88,-1.3,0.07,6,0,0,0,2,0,0
343410780,1670554930807249,395,1491021129,63,4,0,48,5,0,97,-0.2,-0.15,1,0,0,0,2,0,0
343410780,1670554930807249,395,1491021129,63,4,0,48,5,0,117,0.57,1.01,4,-0.08,0,0,2,0,0
426729780,1670554930890239,396,1491021129,57,4,0,48,5,0,60,-4.63,0.07,7,0,0,0,2,0,0
426729780,1670554930890239,396,1491021129,57,4,0,48,5,0,88,-1.25,0.06,6,0,0,0,2,0,0
426729780,1670554930890239,396,1491021129,57,4,0,48,5,0,97,-0.2,-0.15,1,0,0,0,2,0,0
426729780,1670554930890239,396,1491021129,57,4,0,48,5,0,117,2.03,1.19,4,-0.07,0,0,2,0,0
510060780,1670554930972804,397,1491021129,49,4,0,48,5,0,60,-4.58,0.02,7,0,0,0,2,0,0
510060780,1670554930972804,397,1491021129,49,4,0,48,5,0,88,-1.28,0.02,6,0,0,0,2,0,0
510060780,1670554930972804,397,1491021129,49,4,0,48,5,0,97,-0.2,-0.15,1,0,0,0,2,0,0
510060780,1670554930972804,397,1491021129,49,4,0,48,5,0,117,2.03,1.19,4,-0.06,0,0,2,0,0
593396740,1670554931056696,398,1491021129,48,3,0,48,5,0,60,-4.59,0,7,0,0,0,2,0,0
593396740,1670554931056696,398,1491021129,48,3,0,48,5,0,88,-1.33,-0.03,5,0,0,0,2,0,0
593396740,1670554931056696,398,1491021129,48,3,0,48,5,0,117,2.03,1.19,4,-0.06,0,0,2,0,0
676740750,1670554931140232,399,1491021129,52,3,0,48,5,0,60,-4.58,0,7,0,0,0,2,0,0
676740750,1670554931140232,399,1491021129,52,3,0,48,5,0,88,-1.25,-0.02,6,0,0,0,2,0,0
